post_id,time,age,os
7249,2022-01-26 02:06:13,63,iOS
7197,2022-01-26 07:09:28,26,iOS
7244,2022-01-26 01:05:04,18,Android
7133,2022-01-26 01:48:26,32,Android
7157,2022-01-26 05:40:42,21,iOS
7175,2022-01-26 07:09:25,26,iOS
7244,2022-01-26 00:42:31,18,Android
6846,2022-01-26 00:58:36,50,Android
7149,2022-01-26 01:26:14,19,iOS
7089,2022-01-26 01:47:11,32,Android
7197,2022-01-26 04:21:30,37,iOS
7237,2022-01-26 05:39:08,23,Android
7067,2022-01-26 06:20:18,26,iOS
7052,2022-01-26 07:09:19,26,iOS
7170,2022-01-26 00:28:50,15,Android
7190,2022-01-26 00:41:22,26,iOS
7204,2022-01-26 00:49:24,50,Android
7244,2022-01-26 00:57:24,19,iOS
7160,2022-01-26 01:13:34,20,Android
7059,2022-01-26 01:24:27,21,iOS
7206,2022-01-26 01:34:36,38,Android
7007,2022-01-26 01:39:14,28,Android
7237,2022-01-26 03:27:33,24,Android
7228,2022-01-26 03:55:28,22,Android
7127,2022-01-26 04:38:19,43,iOS
7202,2022-01-26 05:39:00,23,Android
7162,2022-01-26 05:42:20,20,Android
7244,2022-01-26 06:20:18,26,iOS
7185,2022-01-26 06:46:20,19,Android
7207,2022-01-26 07:08:28,26,iOS
7180,2022-01-26 00:18:51,20,iOS
7180,2022-01-26 00:28:22,15,Android
7242,2022-01-26 00:32:51,16,Android
6972,2022-01-26 00:40:29,26,iOS
7208,2022-01-26 00:43:28,18,Android
7242,2022-01-26 00:45:35,50,Android
7244,2022-01-26 00:54:46,17,Android
7217,2022-01-26 00:56:35,19,iOS
7051,2022-01-26 01:11:11,18,Android
7237,2022-01-26 01:13:22,20,Android
7207,2022-01-26 01:21:13,21,iOS
7085,2022-01-26 01:22:57,21,iOS
7204,2022-01-26 01:30:56,14,iOS
7077,2022-01-26 01:34:30,29,iOS
7204,2022-01-26 01:35:42,34,Android
7153,2022-01-26 01:38:21,34,Android
7242,2022-01-26 02:42:15,53,iOS
7003,2022-01-26 03:08:30,16,Android
7202,2022-01-26 03:52:11,25,Android
7213,2022-01-26 03:53:38,25,Android
7207,2022-01-26 04:31:47,14,iOS
7210,2022-01-26 04:32:08,14,iOS
7045,2022-01-26 05:02:58,48,iOS
7184,2022-01-26 05:09:42,22,Android
7226,2022-01-26 05:42:06,21,iOS
7136,2022-01-26 05:42:06,21,iOS
7085,2022-01-26 05:44:16,21,iOS
7185,2022-01-26 05:44:50,21,iOS
7052,2022-01-26 06:45:21,19,Android
7244,2022-01-26 06:46:04,19,Android
7237,2022-01-26 06:48:03,19,Android
7174,2022-01-26 06:49:00,22,Android
7134,2022-01-26 00:05:11,17,Android
7173,2022-01-26 00:08:24,24,Android
7185,2022-01-26 00:21:28,26,iOS
7003,2022-01-26 00:22:57,26,iOS
7134,2022-01-26 00:31:20,47,iOS
7187,2022-01-26 00:31:31,47,iOS
7085,2022-01-26 00:36:10,40,Android
7140,2022-01-26 00:39:25,40,Android
7168,2022-01-26 00:42:37,26,iOS
7249,2022-01-26 00:42:40,26,iOS
7211,2022-01-26 00:44:32,26,iOS
7135,2022-01-26 00:45:11,50,Android
7137,2022-01-26 00:49:25,50,Android
7190,2022-01-26 00:52:02,17,Android
7195,2022-01-26 00:55:24,19,iOS
7174,2022-01-26 00:55:52,19,iOS
7226,2022-01-26 01:09:18,18,Android
7207,2022-01-26 01:10:14,19,iOS
7192,2022-01-26 01:13:20,20,Android
7228,2022-01-26 01:13:22,19,iOS
7174,2022-01-26 01:14:33,18,Android
7204,2022-01-26 01:14:58,18,Android
7052,2022-01-26 01:21:15,29,Android
7080,2022-01-26 01:22:55,29,Android
7163,2022-01-26 01:28:46,19,iOS
7132,2022-01-26 01:30:44,14,iOS
7170,2022-01-26 01:33:16,22,Android
7089,2022-01-26 01:33:22,14,iOS
7211,2022-01-26 01:34:47,22,Android
7184,2022-01-26 01:35:39,34,Android
7204,2022-01-26 01:38:09,28,Android
7227,2022-01-26 01:38:21,28,Android
7217,2022-01-26 02:06:26,63,iOS
7077,2022-01-26 02:07:52,63,iOS
6957,2022-01-26 02:58:02,18,iOS
7097,2022-01-26 02:58:09,18,iOS
7244,2022-01-26 03:29:36,24,Android
7140,2022-01-26 07:21:48,35,Android
